IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,Title,ParentDimension,ParentCode,ParentTitle
MALARIA_1STLINE_TREATED,COUNTRY,STP,YEAR,2019,2 457,2457.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Sao Tome and Principe,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,STP,YEAR,2020,1 772,1772.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Sao Tome and Principe,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,STP,YEAR,2018,2 940,2940.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Sao Tome and Principe,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,SWZ,YEAR,2019,586,586.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Eswatini,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,SWZ,YEAR,2018,615,615.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Eswatini,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,SWZ,YEAR,2020,316,316.0,2022-02-10T13:20:18Z,2020,01-01-20,31-12-20,Eswatini,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,UGA,YEAR,2019,28 847 873,28847873.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Uganda,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,UGA,YEAR,2018,25 275 210,25275210.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Uganda,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,UGA,YEAR,2020,30 962 280,30962280.0,2022-02-10T13:20:19Z,2020,01-01-20,31-12-20,Uganda,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,ZAF,YEAR,2020,20 190,20190.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,South Africa,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,ZAF,YEAR,2019,13 833,13833.0,2022-02-10T13:20:19Z,2019,01-01-19,31-12-19,South Africa,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,ZMB,YEAR,2019,19 134 471,19134471.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Zambia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,ZMB,YEAR,2020,7 473 255,7473255.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Zambia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,ZMB,YEAR,2018,27 071 994,27071994.0,2022-02-10T13:20:19Z,2018,01-01-18,31-12-18,Zambia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BLZ,YEAR,2019,2,2.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Belize,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,BLZ,YEAR,2020,0,0.0,2022-02-10T13:20:19Z,2020,01-01-20,31-12-20,Belize,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,BOL,YEAR,2020,12 093,12093.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Bolivia (Plurinational State of),REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,BOL,YEAR,2018,5 920,5920.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Bolivia (Plurinational State of),REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,BOL,YEAR,2019,9 357,9357.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Bolivia (Plurinational State of),REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,ECU,YEAR,2020,2 001,2001.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Ecuador,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,ECU,YEAR,2019,1 909,1909.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Ecuador,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,GTM,YEAR,2020,1 058,1058.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Guatemala,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,GTM,YEAR,2018,2 785,2785.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Guatemala,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,GUY,YEAR,2018,7 814,7814.0,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18,Guyana,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,GUY,YEAR,2019,12 463,12463.0,2022-02-10T13:20:18Z,2019,01-01-19,31-12-19,Guyana,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,GUY,YEAR,2020,2 841,2841.0,2022-02-10T13:20:19Z,2020,01-01-20,31-12-20,Guyana,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,HTI,YEAR,2019,10 687,10687.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Haiti,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,HTI,YEAR,2020,21 353,21353.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Haiti,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,HTI,YEAR,2018,8 296,8296.0,2022-02-10T13:20:19Z,2018,01-01-18,31-12-18,Haiti,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,MEX,YEAR,2019,12,12.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Mexico,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,MEX,YEAR,2020,369,369.0,2022-02-10T13:20:19Z,2020,01-01-20,31-12-20,Mexico,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,NIC,YEAR,2020,25 530,25530.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Nicaragua,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,NIC,YEAR,2018,15 934,15934.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Nicaragua,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,NIC,YEAR,2019,13 226,13226.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Nicaragua,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,PAN,YEAR,2020,1 582,1582.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Panama,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,PAN,YEAR,2019,3,3.0,2022-02-10T13:20:18Z,2019,01-01-19,31-12-19,Panama,REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,VEN,YEAR,2020,231 384,231384.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Venezuela (Bolivarian Republic of),REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,VEN,YEAR,2018,404 924,404924.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Venezuela (Bolivarian Republic of),REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,VEN,YEAR,2019,398 285,398285.0,2022-02-10T13:20:19Z,2019,01-01-19,31-12-19,Venezuela (Bolivarian Republic of),REGION,AMR,Americas
MALARIA_1STLINE_TREATED,COUNTRY,AFG,YEAR,2020,103 466,103466.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Afghanistan,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,AFG,YEAR,2018,31 114,31114.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Afghanistan,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,AFG,YEAR,2019,169 504,169504.0,2022-02-10T13:20:18Z,2019,01-01-19,31-12-19,Afghanistan,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,DJI,YEAR,2020,69 029,69029.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Djibouti,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,DJI,YEAR,2019,47 691,47691.0,2022-02-10T13:20:18Z,2019,01-01-19,31-12-19,Djibouti,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,DJI,YEAR,2018,24 883,24883.0,2022-02-10T13:20:19Z,2018,01-01-18,31-12-18,Djibouti,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,SAU,YEAR,2019,2 152,2152.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Saudi Arabia,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,SAU,YEAR,2020,3 265,3265.0,2022-02-10T13:20:18Z,2020,01-01-20,31-12-20,Saudi Arabia,REGION,EMR,Eastern Mediterranean
